locationame,lat,lon,stationid,time,elev,hour_12,hour_24,hour_3,hour_6,min_10,now,rain,latest_2days,latest_3days,attribute,city,city_sn,town,town_sn
內門,22.9769,120.4583,C0V360,2023-05-01T04:50:00+08:00,94.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,內門區,270
八卦,24.4936,120.9194,C1E701,2023-05-01T04:50:00+08:00,737.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,2.00,2.00,局屬無人測站,苗栗縣,11,泰安鄉,101
八寶寮,23.3550,120.5172,81M730,2023-05-01T04:50:00+08:00,535.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,嘉義縣,17,中埔鄉,224
八德,24.9305,121.2750,C0C490,2023-05-01T04:50:00+08:00,157.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,八德區,052
八斗子,25.1465,121.7834,C0B050,2023-05-01T04:50:00+08:00,5.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,3.50,4.00,局屬無人測站,基隆市,03,中正區,010
八里,25.1523,121.3953,C0AD10,2023-05-01T04:50:00+08:00,27.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,新北市,06,八里區,009
公館,24.5286,120.8226,C1E770,2023-05-01T04:50:00+08:00,83.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,公館鄉,099
六分寮,23.9268,120.6297,C1H971,2023-05-01T04:50:00+08:00,428.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,南投市,160
六分寮,23.9279,120.6299,01H590,2023-05-01T04:50:00+08:00,427.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第3河川局,南投縣,13,南投市,160
六十石山,23.2193,121.3149,01T9J0,2023-05-01T04:50:00+08:00,730.00,2.00,6.00,-998.00,-998.00,-998.00,0.00,-998.00,6.00,6.00,水利署第9河川局,花蓮縣,21,富里鄉,241
六塊厝,25.2418,121.4399,C0AJ60,2023-05-01T04:50:00+08:00,13.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,新北市,06,淡水區,004
六官養殖協會,23.2306,120.2915,CAN140,2023-05-01T04:50:00+08:00,24.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,六甲區,243
六溪,23.3108,120.4512,01O080,2023-05-01T04:50:00+08:00,86.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,臺南市,04,白河區,228
六腳,23.4946,120.2825,C0M740,2023-05-01T04:50:00+08:00,15.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,六腳鄉,214
六龜,22.9998,120.6255,C0V800,2023-05-01T04:50:00+08:00,256.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,六龜區,259
六龜,23.0823,120.6849,F1V850,2023-05-01T04:50:00+08:00,442.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會林務局,高雄市,05,六龜區,259
六龜(4),22.9996,120.6255,01V040,2023-05-01T04:50:00+08:00,259.50,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第7河川局,高雄市,05,六龜區,259
冬山,24.6355,121.7855,C0U910,2023-05-01T04:50:00+08:00,17.00,0.00,4.50,-998.00,-998.00,-998.00,0.00,-998.00,12.00,14.50,局屬無人測站,宜蘭縣,07,冬山鄉,087
冬山,24.6375,121.7758,01U130,2023-05-01T04:50:00+08:00,5.00,0.00,4.00,-998.00,-998.00,-998.00,0.00,-998.00,12.00,13.00,水利署第1河川局,宜蘭縣,07,冬山鄉,087
凌霄,24.0206,120.9963,C1I400,2023-05-01T04:50:00+08:00,1399.00,0.50,1.50,-998.00,-998.00,-998.00,0.00,-998.00,1.50,1.50,局屬無人測站,南投縣,13,仁愛鄉,122
凍頂茶改,23.7643,120.7324,82H840,2023-05-01T04:50:00+08:00,390.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,鹿谷鄉,183
初鹿國中,22.8517,121.0843,81S890,2023-05-01T04:50:00+08:00,201.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,2.50,農委會水土保持局,臺東縣,22,卑南鄉,289
利吉國小,22.8405,121.1309,O1S650,2023-05-01T04:50:00+08:00,130.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第8河川局,臺東縣,22,卑南鄉,289
利嘉,22.8111,121.0424,C1S860,2023-05-01T04:50:00+08:00,516.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,4.00,局屬無人測站,臺東縣,22,卑南鄉,289
利嘉林道,22.8250,121.0013,C1SA50,2023-05-01T04:50:00+08:00,1235.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,卑南鄉,289
前鎮,22.5736,120.3036,C0V890,2023-05-01T04:50:00+08:00,25.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,前鎮區,328
劍南路,25.0917,121.5431,A1AD50,2023-05-01T04:50:00+08:00,121.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府大地工程處,臺北市,01,中山區,026
劍潭山,25.0849,121.5202,A1AG50,2023-05-01T04:50:00+08:00,143.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府大地工程處,臺北市,01,中山區,026
力里,22.4298,120.6212,C1R250,2023-05-01T04:50:00+08:00,92.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,春日鄉,343
加拿國小,23.0028,121.1229,81S900,2023-05-01T04:50:00+08:00,328.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,臺東縣,22,鹿野鄉,274
加津林,22.4180,120.9189,C0S970,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺東縣,22,大武鄉,342
加路蘭山,23.6847,121.5192,C0T9H0,2023-05-01T04:50:00+08:00,725.00,1.50,10.00,-998.00,-998.00,-998.00,0.00,-998.00,11.50,51.50,局屬無人測站,花蓮縣,21,豐濱鄉,188
勝林山,22.4322,120.8857,C0S980,2023-05-01T04:50:00+08:00,903.00,4.00,5.00,-998.00,-998.00,-998.00,0.00,-998.00,5.00,5.00,局屬無人測站,臺東縣,22,達仁鄉,337
北坑,23.9264,120.9989,C1I260,2023-05-01T04:50:00+08:00,601.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,埔里鎮,147
北埔,24.0389,121.5963,01T500,2023-05-01T04:50:00+08:00,20.00,0.00,2.00,-998.00,-998.00,-998.00,0.00,-998.00,2.00,17.00,水利署第9河川局,花蓮縣,21,新城鄉,136
北寮,23.0816,120.4869,C0O830,2023-05-01T04:50:00+08:00,127.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,南化區,244
北寮,23.2921,120.4883,01O200,2023-05-01T04:50:00+08:00,360.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,臺南市,04,東山區,236
北山(2),23.9873,120.8847,01H680,2023-05-01T04:50:00+08:00,339.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第3河川局,南投縣,13,國姓鄉,139
北投國小,25.1357,121.4907,A1A9V0,2023-05-01T04:50:00+08:00,37.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,北投區,006
北政國中,24.9862,121.5693,A1AB00,2023-05-01T04:50:00+08:00,39.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,文山區,356
北港,23.5758,120.2837,C0K410,2023-05-01T04:50:00+08:00,20.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,北港鎮,203
北港(2),23.5797,120.2938,O1J810,2023-05-01T04:50:00+08:00,9.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,雲林縣,16,北港鎮,203
北港國小,24.0584,120.9032,81H960,2023-05-01T04:50:00+08:00,363.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,國姓鄉,139
北源,23.0393,121.2929,01S870,2023-05-01T04:50:00+08:00,135.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第8河川局,臺東縣,22,東河鄉,264
