locationame,lat,lon,stationid,time,elev,hour_12,hour_24,hour_3,hour_6,min_10,now,rain,latest_2days,latest_3days,attribute,city,city_sn,town,town_sn
翠峰,24.1112,121.1970,C1H000,2023-05-01T04:50:00+08:00,2454.00,1.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.00,1.00,局屬無人測站,南投縣,13,仁愛鄉,122
翠峰湖,24.5127,121.5999,C0U960,2023-05-01T04:50:00+08:00,1885.00,0.00,3.00,-998.00,-998.00,-998.00,0.00,-998.00,7.50,8.50,局屬無人測站,宜蘭縣,07,大同鄉,081
翠巒,24.1844,121.1954,01H210,2023-05-01T04:50:00+08:00,1590.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第3河川局,南投縣,13,仁愛鄉,122
翠華,24.1937,121.2161,C1I430,2023-05-01T04:50:00+08:00,2415.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,仁愛鄉,122
翡翠,24.9089,121.5719,L1A790,2023-05-01T04:50:00+08:00,202.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,翡翠水庫,新北市,06,新店區,050
膽曼,23.2267,121.4047,81S910,2023-05-01T04:50:00+08:00,21.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,臺東縣,22,成功鎮,258
至善國中,25.1051,121.5474,A1AA30,2023-05-01T04:50:00+08:00,53.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府水利處,臺北市,01,士林區,007
臺中,24.1475,120.6759,467490,2023-05-01T04:50:00+08:00,84.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,臺中市,02,北區,128
臺中電廠,24.2164,120.4826,C0FA40,2023-05-01T04:50:00+08:00,25.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,龍井區,115
臺北,25.0394,121.5067,466920,2023-05-01T04:50:00+08:00,6.30,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,臺北市,01,中正區,036
臺南,22.9950,120.1967,467410,2023-05-01T04:50:00+08:00,40.80,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,中央氣象局,臺南市,04,中西區,275
臺南市北區,23.0122,120.1863,C0X100,2023-05-01T04:50:00+08:00,10.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,北區,357
臺南市南區,22.9630,120.1804,C0X110,2023-05-01T04:50:00+08:00,20.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,南區,281
臺南農改,23.0622,120.3341,72N100,2023-05-01T04:50:00+08:00,41.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,新化區,267
臺大內茅埔,23.6915,120.8430,U2HA40,2023-05-01T04:50:00+08:00,507.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,信義鄉,175
臺大和社,23.5926,120.8807,U2HA30,2023-05-01T04:50:00+08:00,772.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,信義鄉,175
臺大竹山,23.7587,120.6734,U2HA50,2023-05-01T04:50:00+08:00,156.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,竹山鎮,178
臺大雲林校區,23.7324,120.4158,A2K630,2023-05-01T04:50:00+08:00,45.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,雲林縣,16,虎尾鎮,190
臺東,22.7540,121.1465,467660,2023-05-01T04:50:00+08:00,9.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,1.00,中央氣象局,臺東縣,22,臺東市,297
臺東茶改,22.9095,121.1221,82S580,2023-05-01T04:50:00+08:00,175.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,2.00,局屬合作測站,臺東縣,22,鹿野鄉,274
臺灣大學,25.0161,121.5312,A0A010,2023-05-01T04:50:00+08:00,17.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺北市,01,大安區,039
臺西,23.7033,120.1894,C0K530,2023-05-01T04:50:00+08:00,12.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,臺西鄉,187
臺西水試所,23.7190,120.1824,A2K360,2023-05-01T04:50:00+08:00,1.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,雲林縣,16,臺西鄉,187
興海,21.9770,120.8359,C0R870,2023-05-01T04:50:00+08:00,13.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,滿洲鄉,348
興達,22.8795,120.2047,C0V880,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,茄萣區,286
舊泰武,22.5900,120.6569,C0R600,2023-05-01T04:50:00+08:00,766.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,泰武鄉,318
舊莊國小,25.0418,121.6112,A1AA70,2023-05-01T04:50:00+08:00,38.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,北市府水利處,臺北市,01,南港區,035
舊莊里,25.0358,121.6165,A1AC50,2023-05-01T04:50:00+08:00,47.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,1.50,1.50,北市府大地工程處,臺北市,01,南港區,035
舞鶴,23.4697,121.3658,C0Z070,2023-05-01T04:50:00+08:00,247.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,花蓮縣,21,瑞穗鄉,209
芬園,24.0172,120.6131,C0G620,2023-05-01T04:50:00+08:00,110.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,彰化縣,14,芬園鄉,148
花園派出所,24.6479,121.1429,81D660,2023-05-01T04:50:00+08:00,489.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,新竹縣,10,五峰鄉,089
花壇,24.0321,120.5413,C0G910,2023-05-01T04:50:00+08:00,42.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,花壇鄉,146
花嶼,23.4018,119.3147,C0W130,2023-05-01T04:50:00+08:00,18.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,澎湖縣,23,望安鄉,231
花蓮,23.9747,121.5978,O1T840,2023-05-01T04:50:00+08:00,18.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,2.00,水利署第9河川局,花蓮縣,21,花蓮市,150
花蓮,23.9769,121.6051,466990,2023-05-01T04:50:00+08:00,16.10,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,2.00,中央氣象局,花蓮縣,21,花蓮市,150
花蓮農改,23.9770,121.5558,72T250,2023-05-01T04:50:00+08:00,36.00,0.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,3.00,4.50,局屬合作測站,花蓮縣,21,吉安鄉,154
芳苑,23.9240,120.3119,C0G870,2023-05-01T04:50:00+08:00,12.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,彰化縣,14,芳苑鄉,149
苓雅,22.6245,120.3226,C0V710,2023-05-01T04:50:00+08:00,34.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,苓雅區,323
苗圃,23.4188,121.2713,01T240,2023-05-01T04:50:00+08:00,940.00,1.00,2.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,4.00,水利署第9河川局,花蓮縣,21,卓溪鄉,207
苗栗,24.5667,120.8164,C0E750,2023-05-01T04:50:00+08:00,62.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,苗栗市,096
苗栗農改,24.4975,120.8209,K2E360,2023-05-01T04:50:00+08:00,100.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,苗栗縣,11,公館鄉,099
茂林蝶谷,22.8903,120.6560,CM0180,2023-05-01T04:50:00+08:00,313.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,茂林區,278
茄萣,22.9084,120.1746,C0V630,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,茄萣區,286
茶改場,24.9103,121.1771,82C160,2023-05-01T04:50:00+08:00,195.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,桃園市,08,楊梅區,056
茶改場竹圍站,23.8618,120.6294,CAH030,2023-05-01T04:50:00+08:00,300.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,名間鄉,173
茶製場,25.0302,121.6551,A1AD70,2023-05-01T04:50:00+08:00,375.00,0.00,1.50,-998.00,-998.00,-998.00,0.00,-998.00,3.00,3.00,北市府大地工程處,臺北市,01,南港區,035
草屯,23.9754,120.6722,C0H960,2023-05-01T04:50:00+08:00,120.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,草屯鎮,152
草屯(4),23.9743,120.6708,01H630,2023-05-01T04:50:00+08:00,99.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第3河川局,南投縣,13,草屯鎮,152
草嶺,23.5973,120.6853,C0K240,2023-05-01T04:50:00+08:00,1132.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,古坑鄉,196
草嶺(2),23.5859,120.6875,01J970,2023-05-01T04:50:00+08:00,724.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,雲林縣,16,古坑鄉,196
荖溪,23.8924,121.4515,C1Z140,2023-05-01T04:50:00+08:00,950.00,3.00,11.00,0.00,0.50,0.00,0.50,0.00,11.50,18.50,局屬無人測站,花蓮縣,21,秀林鄉,166
莿桐,23.7629,120.4942,C0K480,2023-05-01T04:50:00+08:00,56.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,莿桐鄉,185
菁山里,25.1458,121.5578,A1AD00,2023-05-01T04:50:00+08:00,489.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府大地工程處,臺北市,01,士林區,007
菜瓜坪,23.2536,120.5683,C1M400,2023-05-01T04:50:00+08:00,369.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,大埔鄉,233
華山,23.5970,120.5888,88K590,2023-05-01T04:50:00+08:00,393.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,雲林縣,16,古坑鄉,196
華源,22.6597,121.0156,C1S800,2023-05-01T04:50:00+08:00,80.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.50,局屬無人測站,臺東縣,22,太麻里鄉,312
萬丹,22.5903,120.4770,C0R930,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,萬丹鄉,327
萬大,23.9816,121.1240,C1I020,2023-05-01T04:50:00+08:00,1120.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,仁愛鄉,122
萬大林道,23.9300,121.0833,C0I490,2023-05-01T04:50:00+08:00,1601.00,2.50,2.50,-998.00,-998.00,-998.00,0.00,-998.00,2.50,2.50,局屬無人測站,南投縣,13,仁愛鄉,178
萬山,22.9077,120.6800,C0V790,2023-05-01T04:50:00+08:00,410.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,高雄市,05,茂林區,278
萬榮,23.7110,121.4120,C0Z200,2023-05-01T04:50:00+08:00,153.00,0.00,6.00,-998.00,-998.00,-998.00,0.00,-998.00,6.00,31.50,局屬無人測站,花蓮縣,21,鳳林鎮,184
萬興(2),23.9571,120.4088,01G240,2023-05-01T04:50:00+08:00,11.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,彰化縣,14,二林鎮,155
萬里國小,25.1776,121.6812,81AH50,2023-05-01T04:50:00+08:00,10.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,3.00,4.00,農委會水土保持局,新北市,06,萬里區,005
蓮華池,23.9201,120.8771,E2H360,2023-05-01T04:50:00+08:00,681.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,南投縣,13,魚池鄉,164
蔦松,23.5161,120.2216,C0K550,2023-05-01T04:50:00+08:00,15.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,水林鄉,204
蕃薯寮,23.7402,121.5320,C0Z270,2023-05-01T04:50:00+08:00,343.00,1.50,4.00,-998.00,-998.00,-998.00,0.00,-998.00,5.00,39.00,局屬無人測站,花蓮縣,21,壽豐鄉,161
藤枝,23.0738,120.7489,C1V600,2023-05-01T04:50:00+08:00,1561.00,0.50,0.50,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,局屬無人測站,高雄市,05,桃源區,353
蘆洲,25.0885,121.4641,C0AD30,2023-05-01T04:50:00+08:00,20.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,新北市,06,蘆洲區,023
蘆竹,25.0861,121.2575,C0C620,2023-05-01T04:50:00+08:00,19.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,蘆竹區,020
蘆竹湳,23.9358,120.8039,C1I211,2023-05-01T04:50:00+08:00,529.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,中寮鄉,159
蘆竹溝,23.2362,120.0880,C0N040,2023-05-01T04:50:00+08:00,22.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,北門區,237
蘇樂,24.7024,121.3486,88C690,2023-05-01T04:50:00+08:00,681.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,桃園市,08,復興區,067
蘇澳,24.5988,121.8489,C0UB10,2023-05-01T04:50:00+08:00,28.00,0.00,13.00,-998.00,-998.00,-998.00,0.00,-998.00,32.50,41.00,局屬無人測站,宜蘭縣,07,蘇澳鎮,354
蘭嶼,22.0388,121.5503,467620,2023-05-01T04:50:00+08:00,324.00,0.00,17.00,-998.00,-998.00,-998.00,0.00,-998.00,17.00,17.50,中央氣象局,臺東縣,22,蘭嶼鄉,351
蘭嶼燈塔,22.0830,121.4951,C0S910,2023-05-01T04:50:00+08:00,212.00,0.50,2.50,-998.00,-998.00,-998.00,0.00,-998.00,2.50,3.00,局屬無人測站,臺東縣,22,蘭嶼鄉,351
蘭嶼高中,22.0509,121.5041,C0S900,2023-05-01T04:50:00+08:00,27.00,1.00,20.50,0.00,1.00,0.00,0.50,0.00,20.50,20.50,局屬無人測站,臺東縣,22,蘭嶼鄉,351
蘭陽分場,24.6881,121.7084,72U480,2023-05-01T04:50:00+08:00,27.00,0.00,2.50,-998.00,-998.00,-998.00,0.00,-998.00,5.50,16.50,局屬合作測站,宜蘭縣,07,三星鄉,084
虎尾,23.7209,120.4339,C0K330,2023-05-01T04:50:00+08:00,38.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,虎尾鎮,190
虎頭埤,23.0231,120.3398,C0O970,2023-05-01T04:50:00+08:00,71.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,新化區,267
虎頭埤,23.0274,120.3291,01O710,2023-05-01T04:50:00+08:00,34.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第6河川局,臺南市,04,新化區,267
蚵仔寮,22.7274,120.2446,C0V850,2023-05-01T04:50:00+08:00,22.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,高雄市,05,梓官區,303
蚵寮,23.3027,120.1023,C0N050,2023-05-01T04:50:00+08:00,37.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,北門區,237
表湖,23.2436,120.6336,C0M850,2023-05-01T04:50:00+08:00,695.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,嘉義縣,17,大埔鄉,233
褒忠,23.6927,120.2955,C0K430,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,褒忠鄉,191
褒忠(2),23.7028,120.3029,01K060,2023-05-01T04:50:00+08:00,13.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第5河川局,雲林縣,16,褒忠鄉,191
西丘斯山,24.5833,121.3500,21D350,2023-05-01T04:50:00+08:00,2000.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,石門水庫,新竹縣,10,尖石鄉,077
西大武山,22.6195,120.7241,C1R610,2023-05-01T04:50:00+08:00,1828.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,泰武鄉,318
西屯,24.1820,120.6329,C0F9T0,2023-05-01T04:50:00+08:00,111.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,西屯區,125
西嶼,23.5643,119.4603,C0W120,2023-05-01T04:50:00+08:00,58.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,澎湖縣,23,西嶼鄉,199
西巒,23.7564,120.8756,C1I310,2023-05-01T04:50:00+08:00,1033.00,0.50,1.50,-998.00,-998.00,-998.00,0.00,-998.00,1.50,1.50,局屬無人測站,南投縣,13,信義鄉,175
西帽山,24.5572,121.7944,C0UA50,2023-05-01T04:50:00+08:00,808.00,0.50,14.00,-998.00,-998.00,-998.00,0.00,-998.00,25.50,34.00,局屬無人測站,宜蘭縣,07,南澳鄉,093
西德山,24.5624,121.7444,C0UA40,2023-05-01T04:50:00+08:00,1121.00,0.50,4.50,-998.00,-998.00,-998.00,0.00,-998.00,10.50,14.00,局屬無人測站,宜蘭縣,07,南澳鄉,093
西林,23.8137,121.4332,C0T900,2023-05-01T04:50:00+08:00,160.00,0.00,6.50,-998.00,-998.00,-998.00,0.00,-998.00,7.00,11.50,局屬無人測站,花蓮縣,21,萬榮鄉,166
西林,23.8210,121.4239,01T560,2023-05-01T04:50:00+08:00,200.00,0.00,10.00,-998.00,-998.00,-998.00,0.00,-998.00,11.00,18.00,水利署第9河川局,花蓮縣,21,萬榮鄉,166
西港,23.1274,120.1951,C0X140,2023-05-01T04:50:00+08:00,17.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺南市,04,西港區,256
西湖,24.5644,120.7403,C0E810,2023-05-01T04:50:00+08:00,53.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,西湖鄉,097
西濱N066K,24.8974,120.9567,CAD100,2023-05-01T04:50:00+08:00,17.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,新竹縣,10,新豐鄉,058
西濱N107K,24.5976,120.7312,CAE100,2023-05-01T04:50:00+08:00,47.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,苗栗縣,11,後龍鎮,091
西濱N151K,24.2777,120.5395,CAF100,2023-05-01T04:50:00+08:00,14.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺中市,02,清水區,112
西濱N210K,23.8453,120.2851,CAG090,2023-05-01T04:50:00+08:00,48.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,彰化縣,14,大城鄉,169
西濱N222K,23.7395,120.2480,CAJ030,2023-05-01T04:50:00+08:00,31.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,雲林縣,16,麥寮鄉,179
西濱N304K,23.1052,120.0786,CAN120,2023-05-01T04:50:00+08:00,49.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,七股區,253
西濱S023K,25.1183,121.2673,CAC050,2023-05-01T04:50:00+08:00,23.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,桃園市,08,蘆竹區,020
西濱S032K,25.0937,121.1843,CAC060,2023-05-01T04:50:00+08:00,21.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,桃園市,08,大園區,019
西濱S082K,24.7535,120.8968,CAD110,2023-05-01T04:50:00+08:00,17.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,新竹市,15,香山區,069
西濱S129K,24.4489,120.6346,CAE110,2023-05-01T04:50:00+08:00,42.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,苗栗縣,11,苑裡鎮,102
西濱S173K,24.1098,120.4264,CAG070,2023-05-01T04:50:00+08:00,23.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,彰化縣,14,鹿港鎮,140
西濱S189K,23.9896,120.3615,CAG080,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,彰化縣,14,芳苑鄉,149
西濱S241K,23.6252,120.1645,CAJ040,2023-05-01T04:50:00+08:00,14.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,雲林縣,16,口湖鄉,201
西濱S257K,23.5040,120.1638,CAL090,2023-05-01T04:50:00+08:00,5.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,嘉義縣,17,東石鄉,216
西濱S267K,23.4176,120.1548,CAL100,2023-05-01T04:50:00+08:00,8.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,嘉義縣,17,東石鄉,216
西濱S280K,23.3069,120.1408,CAN110,2023-05-01T04:50:00+08:00,5.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬合作測站,臺南市,04,北門區,237
西螺,23.8022,120.4593,C0K420,2023-05-01T04:50:00+08:00,42.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,雲林縣,16,西螺鎮,182
西螺(2),23.8022,120.4567,01J100,2023-05-01T04:50:00+08:00,30.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,雲林縣,16,西螺鎮,182
覽勝橋,24.8641,121.5432,01AD90,2023-05-01T04:50:00+08:00,108.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第10河川局,新北市,06,烏來區,061
觀音,25.0289,121.1451,C0C590,2023-05-01T04:50:00+08:00,72.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,觀音區,032
觀音工業區,25.0665,121.1066,C0C740,2023-05-01T04:50:00+08:00,5.30,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,桃園市,08,觀音區,032
觀音海岸,24.3851,121.7703,C1U850,2023-05-01T04:50:00+08:00,665.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,宜蘭縣,07,南澳鄉,093
豐丘,23.6698,120.8688,81I560,2023-05-01T04:50:00+08:00,613.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,南投縣,13,信義鄉,175
豐丘,23.6700,120.8789,C1I290,2023-05-01T04:50:00+08:00,1151.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,南投縣,13,信義鄉,175
豐南,23.1240,121.2543,C1S850,2023-05-01T04:50:00+08:00,489.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.50,局屬無人測站,花蓮縣,21,富里鄉,241
豐原,24.2563,120.7123,C0F9M0,2023-05-01T04:50:00+08:00,230.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,臺中市,02,豐原區,117
豐山,23.5764,120.7386,O1M640,2023-05-01T04:50:00+08:00,1052.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第4河川局,嘉義縣,16,阿里山鄉,355
豐山,23.5921,120.7367,81M020,2023-05-01T04:50:00+08:00,828.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,農委會水土保持局,嘉義縣,17,阿里山鄉,208
豐濱,23.5857,121.5067,C0T9I0,2023-05-01T04:50:00+08:00,152.00,0.00,0.50,-998.00,-998.00,-998.00,0.00,-998.00,4.50,27.00,局屬無人測站,花蓮縣,21,豐濱鄉,188
豐濱,23.6042,121.5124,01T730,2023-05-01T04:50:00+08:00,30.00,0.00,1.00,-998.00,-998.00,-998.00,0.00,-998.00,4.00,36.00,水利署第9河川局,花蓮縣,21,豐濱鄉,188
象鼻,24.3703,120.9322,C1E451,2023-05-01T04:50:00+08:00,950.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,苗栗縣,11,泰安鄉,101
象鼻(1),24.3622,120.9402,01E060,2023-05-01T04:50:00+08:00,658.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,水利署第3河川局,苗栗縣,11,泰安鄉,101
貓空,24.9707,121.5871,A1AD60,2023-05-01T04:50:00+08:00,317.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.50,0.50,北市府大地工程處,臺北市,01,文山區,356
貓鼻頭,21.9236,120.7278,C0R350,2023-05-01T04:50:00+08:00,35.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,局屬無人測站,屏東縣,20,恆春鎮,350
貴子坑,25.1577,121.4816,A1AD80,2023-05-01T04:50:00+08:00,278.00,0.00,0.00,-998.00,-998.00,-998.00,0.00,-998.00,0.00,0.00,北市府大地工程處,臺北市,01,北投區,006
